run_id,frame_index,i_plus,i_minus,v_plus,v_minus,voltage_mv
20260613-000525,2,E10,E4,E1,E2,18.000000
20260613-000525,2,E10,E4,E2,E3,14.500000
20260613-000525,2,E10,E4,E5,E6,-56.500000
20260613-000525,2,E10,E4,E6,E7,324.000000
20260613-000525,2,E10,E4,E7,E8,-8.000000
20260613-000525,2,E10,E4,E8,E9,-263.000000
20260613-000525,2,E10,E4,E11,E12,275.000000
20260613-000525,2,E10,E4,E12,E1,18.000000
20260613-000525,2,E11,E5,E1,E2,20.000000
20260613-000525,2,E11,E5,E2,E3,15.500000
20260613-000525,2,E11,E5,E3,E4,-2.000000
20260613-000525,2,E11,E5,E6,E7,338.500000
20260613-000525,2,E11,E5,E7,E8,-10.000000
20260613-000525,2,E11,E5,E8,E9,-270.500000
20260613-000525,2,E11,E5,E9,E10,-331.000000
20260613-000525,2,E11,E5,E12,E1,22.000000
20260613-000525,2,E12,E6,E1,E2,22.500000
20260613-000525,2,E12,E6,E2,E3,12.000000
20260613-000525,2,E12,E6,E3,E4,-1.000000
20260613-000525,2,E12,E6,E4,E5,18.000000
20260613-000525,2,E12,E6,E7,E8,-6.000000
20260613-000525,2,E12,E6,E8,E9,-230.000000
20260613-000525,2,E12,E6,E9,E10,-281.000000
20260613-000525,2,E12,E6,E10,E11,248.500000
20260613-000525,3,E1,E7,E2,E3,11.000000
20260613-000525,3,E1,E7,E3,E4,-5.500000
20260613-000525,3,E1,E7,E4,E5,6.000000
20260613-000525,3,E1,E7,E5,E6,-38.000000
20260613-000525,3,E1,E7,E8,E9,-174.500000
20260613-000525,3,E1,E7,E9,E10,-224.500000
20260613-000525,3,E1,E7,E10,E11,219.000000
20260613-000525,3,E1,E7,E11,E12,208.500000
20260613-000525,3,E2,E8,E3,E4,-2.500000
20260613-000525,3,E2,E8,E4,E5,12.000000
20260613-000525,3,E2,E8,E5,E6,-44.000000
20260613-000525,3,E2,E8,E6,E7,270.500000
20260613-000525,3,E2,E8,E9,E10,-262.000000
20260613-000525,3,E2,E8,E10,E11,250.000000
20260613-000525,3,E2,E8,E11,E12,236.000000
20260613-000525,3,E2,E8,E12,E1,14.000000
20260613-000525,3,E3,E9,E1,E2,26.000000
20260613-000525,3,E3,E9,E4,E5,14.000000
